,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
1,ovre ardal,61.32,7.8,66.2,48.0,40.0,4.7,NO,1594827805.0
2,kapaa,22.08,-159.32,78.8,83.0,90.0,14.99,US,1594827571.0
3,tagusao,9.19,117.81,81.0,78.0,8.0,4.34,PH,1594827805.0
4,longyearbyen,78.22,15.64,48.2,61.0,75.0,5.82,SJ,1594827805.0
5,moindou,-21.69,165.68,68.0,82.0,90.0,6.93,NC,1594827805.0
6,urucara,-2.54,-57.76,94.23,39.0,0.0,4.36,BR,1594827805.0
7,ponta do sol,32.67,-17.1,75.0,61.0,4.0,6.04,PT,1594827805.0
8,vaini,-21.2,-175.2,73.4,78.0,40.0,6.93,TO,1594827805.0
9,hobart,-42.88,147.33,45.0,93.0,90.0,4.7,AU,1594827625.0
10,meulaboh,4.14,96.13,79.99,81.0,94.0,2.75,ID,1594827805.0
11,rikitea,-23.12,-134.97,74.21,83.0,100.0,14.92,PF,1594827805.0
13,busselton,-33.65,115.33,55.99,84.0,53.0,18.75,AU,1594827805.0
14,mar del plata,-38.0,-57.56,50.0,55.0,0.0,4.7,AR,1594827584.0
15,iqaluit,63.75,-68.51,57.2,62.0,20.0,4.7,CA,1594827805.0
16,albany,42.6,-73.97,75.99,71.0,91.0,0.43,US,1594827805.0
17,samana,19.21,-69.34,82.4,83.0,75.0,4.7,DO,1594827806.0
18,jalu,29.03,21.55,98.53,15.0,0.0,12.77,LY,1594827806.0
19,hermanus,-34.42,19.23,59.0,61.0,0.0,3.13,ZA,1594827806.0
20,yarim,14.3,44.38,62.38,77.0,100.0,7.31,YE,1594827806.0
21,lompoc,34.64,-120.46,57.2,87.0,57.0,4.29,US,1594827806.0
23,hami,42.8,93.45,84.6,16.0,62.0,18.21,CN,1594827806.0
24,codrington,-38.27,141.97,40.73,92.0,0.0,4.63,AU,1594827806.0
25,ola,59.58,151.28,53.74,92.0,70.0,2.08,RU,1594827806.0
26,juquia,-24.32,-47.63,66.85,64.0,98.0,4.07,BR,1594827806.0
29,atikokan,48.76,-91.62,77.32,37.0,0.0,15.17,CA,1594827806.0
30,jamestown,42.1,-79.24,78.01,60.0,1.0,8.05,US,1594827586.0
31,van,38.49,43.38,75.2,53.0,20.0,5.82,TR,1594827806.0
32,dikson,73.51,80.55,41.02,91.0,99.0,11.99,RU,1594827806.0
34,soe,-9.86,124.28,60.98,100.0,76.0,4.56,ID,1594827734.0
35,lebu,-37.62,-73.65,55.71,72.0,66.0,1.72,CL,1594827807.0
36,deputatskiy,69.3,139.9,35.35,84.0,31.0,10.22,RU,1594827807.0
37,jumla,29.27,82.18,63.59,72.0,55.0,0.98,NP,1594827807.0
39,bethel,41.37,-73.41,73.0,73.0,90.0,3.18,US,1594827710.0
40,ushuaia,-54.8,-68.3,30.2,92.0,40.0,2.24,AR,1594827797.0
41,srednekolymsk,67.45,153.68,38.17,76.0,56.0,3.02,RU,1594827807.0
42,port augusta,-32.5,137.77,42.8,81.0,0.0,5.82,AU,1594827667.0
43,bose,45.46,8.01,77.0,79.0,69.0,3.4,IT,1594827807.0
45,bandarbeyla,9.49,50.81,81.03,68.0,100.0,33.15,SO,1594827807.0
46,bambous virieux,-20.34,57.76,73.4,64.0,40.0,11.41,MU,1594827710.0
47,braco do norte,-28.27,-49.17,62.6,43.0,0.0,2.46,BR,1594827807.0
49,goundi,9.36,17.37,82.02,71.0,37.0,2.17,TD,1594827807.0
50,arlit,18.74,7.39,102.6,16.0,0.0,6.98,NE,1594827807.0
51,hilo,19.73,-155.09,73.4,83.0,40.0,4.7,US,1594827807.0
52,atuona,-9.8,-139.03,79.32,75.0,3.0,18.14,PF,1594827807.0
53,shagonar,51.53,92.8,59.2,58.0,59.0,2.46,RU,1594827807.0
55,yellowknife,62.46,-114.35,55.4,82.0,75.0,11.41,CA,1594827649.0
56,butaritari,3.07,172.79,81.88,76.0,97.0,11.9,KI,1594827708.0
57,bredasdorp,-34.53,20.04,64.4,42.0,1.0,2.24,ZA,1594827707.0
58,punta arenas,-53.15,-70.92,32.0,84.0,75.0,6.93,CL,1594827808.0
60,cape town,-33.93,18.42,62.6,36.0,0.0,1.12,ZA,1594827550.0
61,mataura,-46.19,168.86,39.0,83.0,21.0,3.0,NZ,1594827607.0
62,geraldton,-28.77,114.6,53.6,93.0,51.0,11.41,AU,1594827808.0
63,caravelas,-17.71,-39.25,80.26,62.0,1.0,6.42,BR,1594827728.0
64,bluff,-46.6,168.33,39.0,83.0,12.0,3.0,NZ,1594827808.0
65,port alfred,-33.59,26.89,56.57,44.0,14.0,2.95,ZA,1594827808.0
66,nikolskoye,59.7,30.79,63.0,48.0,100.0,6.71,RU,1594827808.0
67,la libertad,-2.23,-80.9,69.73,82.0,100.0,8.59,EC,1594827808.0
68,pevek,69.7,170.31,45.12,90.0,100.0,3.06,RU,1594827727.0
69,araouane,18.9,-3.53,103.73,22.0,99.0,7.85,ML,1594827808.0
70,port-gentil,-0.72,8.78,80.6,69.0,40.0,9.04,GA,1594827551.0
72,kachug,53.96,105.88,60.26,88.0,100.0,9.17,RU,1594827808.0
73,san cristobal,7.77,-72.22,86.0,55.0,40.0,4.7,VE,1594827808.0
